index,Año,Trimestre,Provincia,Mbps (Media de bajada),Accesos por cada 100 hab,Accesos por cada 100 hogares,Latitud,Longitud
138,2022,3,SAN LUIS,19.33,23.39,81.74,-32.98264595285886,-65.88683861327827
139,2022,3,SANTA CRUZ,12.6,12.85,43.19,-48.863730255517886,-69.86373350526509
140,2022,3,SANTA FE,45.15,24.7,78.55,-31.64634283294476,-61.04726054930406
141,2022,3,SANTIAGO DEL ESTERO,17.69,11.91,47.98,-27.784103764741893,-63.62189998971087
142,2022,3,TIERRA DEL FUEGO,11.01,29.5,99.51,-62.35015217161648,-59.53190998460846
143,2022,3,TUCUMAN,53.36,15.14,61.14,-26.998180477681764,-65.29453734502505
144,2022,2,BUENOS AIRES,65.5,26.12927127832741,77.58,-35.633728326052875,-59.695392866402734
146,2022,2,CATAMARCA,56.56,15.871790195247083,62.4,-27.97273476331947,-66.12713970412685
147,2022,2,CHACO,50.61,11.70254390369554,43.79,-26.86207729911804,-60.15511735633289
148,2022,2,CHUBUT,14.91,25.499919336270644,83.19,-44.077151734192086,-68.66765299463769
149,2022,2,CORDOBA,53.51,26.781590841133493,87.48,-31.846608244153405,-63.96214628932277
150,2022,2,CORRIENTES,43.31,12.732146965383649,48.35,-28.61578113415668,-57.97533573736128
151,2022,2,ENTRE RIOS,40.03,19.10468595065942,63.9,-31.925167566210387,-59.26302098168299
152,2022,2,FORMOSA,28.47,11.049814591140091,43.42,-25.09315954739276,-59.46860152020448
153,2022,2,JUJUY,29.39,14.656913524540675,57.32,-23.523573011085336,-65.43805280478172
154,2022,2,LA PAMPA,16.07,30.632721559665782,92.98,-36.47714174789248,-64.4553406128059
155,2022,2,LA RIOJA,43.28,21.331409216914373,80.14,-29.330863895517307,-67.13983451857555
156,2022,2,MENDOZA,29.72,13.782233784570575,49.39,-33.368795530481485,-68.68534600457129
157,2022,2,MISIONES,46.23,13.89002818196789,51.0,-27.058215458325986,-54.96724865075839
158,2022,2,NEUQUEN,46.53,23.81745752817118,80.02,-38.49954335558701,-69.8742115743201
159,2022,2,RIO NEGRO,33.26,20.867543527383397,67.85,-39.89645026413934,-67.6105113380815
160,2022,2,SALTA,38.77,13.936010557448652,57.54,-24.248013631473587,-64.70250708135784
161,2022,2,SAN JUAN,14.44,12.597912455631214,49.46,-31.31442612644254,-68.50334378949645
162,2022,2,SAN LUIS,19.32,23.396972678771853,81.76,-32.98264595285886,-65.88683861327827
163,2022,2,SANTA CRUZ,11.81,12.83962283852644,43.15,-48.863730255517886,-69.86373350526509
164,2022,2,SANTA FE,42.01,24.495906799164608,77.9,-31.64634283294476,-61.04726054930406
165,2022,2,SANTIAGO DEL ESTERO,16.34,11.836737968128928,47.7,-27.784103764741893,-63.62189998971087
166,2022,2,TIERRA DEL FUEGO,10.97,29.60495526496903,99.86,-62.35015217161648,-59.53190998460846
167,2022,2,TUCUMAN,50.09,14.6914572899128,59.31,-26.998180477681764,-65.29453734502505
168,2022,1,BUENOS AIRES,62.51,25.563030152028357,76.07814661157262,-35.633728326052875,-59.695392866402734
170,2022,1,CATAMARCA,51.22,14.805619574995312,58.20635083561171,-27.97273476331947,-66.12713970412685
171,2022,1,CHACO,45.84,11.775342040436144,44.05948009941883,-26.86207729911804,-60.15511735633289
172,2022,1,CHUBUT,13.4,26.9887596631044,88.05274093835774,-44.077151734192086,-68.66765299463769
173,2022,1,CORDOBA,49.89,26.255262218351167,85.75745356313551,-31.846608244153405,-63.96214628932277
174,2022,1,CORRIENTES,38.11,12.545281287312791,47.644635141502334,-28.61578113415668,-57.97533573736128
