index,Año,Trimestre,Provincia,Mbps (Media de bajada),Accesos por cada 100 hab,Accesos por cada 100 hogares,Latitud,Longitud,Accesos_siguiente_trimestre,KPI_propuesto,Mbps_ano_anterior,KPI_crecimiento_anual,Variacion_trimestral,KPI_variacion_trimestral_media
76,2023,1,CHUBUT,18.36,26.32,85.89,-44.077151734192086,-68.66765299463769,85.57,0.37256956572360855,,,1.0399999999999991,0.09333333333333371
77,2023,1,CORDOBA,109.57,27.2,88.84,-31.846608244153405,-63.96214628932277,89.03,-0.21386762719495467,,,-0.39000000000000057,-0.18666666666666742
78,2023,1,CORRIENTES,94.8,13.71,52.05,-28.61578113415668,-57.97533573736128,51.64,0.7877041306436053,,,-0.0799999999999983,-0.043333333333333
79,2023,1,ENTRE RIOS,86.71,19.37,64.79,-31.925167566210387,-59.26302098168299,64.01,1.2038894891186929,,,0.10999999999999943,-0.5133333333333331
80,2023,1,FORMOSA,73.96,9.87,38.79,-25.09315954739276,-59.46860152020448,39.41,-1.598350090229434,,,0.11999999999999922,-0.03666666666666707
81,2023,1,JUJUY,42.75,14.88,58.2,-23.523573011085336,-65.43805280478172,58.46,-0.446735395189,,,0.10000000000000142,0.03666666666666707
82,2023,1,LA PAMPA,20.09,31.81,96.55,-36.47714174789248,-64.4553406128059,94.8,1.8125323666494046,,,-0.5899999999999999,-0.3733333333333337
83,2023,1,LA RIOJA,63.13,21.23,79.74,-29.330863895517307,-67.13983451857555,79.86,-0.150489089541014,,,-0.07000000000000028,-0.040000000000000334
84,2023,1,MENDOZA,41.45,14.34,51.4,-33.368795530481485,-68.68534600457129,51.36,0.0778210116731501,,,-0.1999999999999993,-0.07000000000000028
85,2023,1,MISIONES,89.81,14.7,53.97,-27.058215458325986,-54.96724865075839,52.85,2.0752269779507087,,,-0.33000000000000007,-0.21000000000000027
86,2023,1,NEUQUEN,93.42,23.38,78.55,-38.49954335558701,-69.8742115743201,78.67,-0.1527689369828193,,,-0.120000000000001,-0.13333333333333405
87,2023,1,RIO NEGRO,74.4,21.27,69.16,-39.89645026413934,-67.6105113380815,68.42,1.06998264893001,,,0.17999999999999972,-0.11333333333333329
88,2023,1,SALTA,76.85,13.97,57.67,-24.248013631473587,-64.70250708135784,57.96,-0.5028611062944324,,,0.05000000000000071,0.05666666666666664
89,2023,1,SAN JUAN,18.7,12.67,49.75,-31.31442612644254,-68.50334378949645,50.88,-2.2713567839196034,,,0.5700000000000003,-0.02666666666666669
90,2023,1,SAN LUIS,55.85,25.8,90.17,-32.98264595285886,-65.88683861327827,90.27,-0.11090163025395842,,,-0.9299999999999997,-1.1366666666666667
91,2023,1,SANTA CRUZ,14.98,12.92,43.42,-48.863730255517886,-69.86373350526509,43.53,-0.25333947489635983,,,0.5299999999999994,-3.0066666666666673
92,2023,1,SANTA FE,92.22,24.57,78.13,-31.64634283294476,-61.04726054930406,78.4,-0.34557788301550013,,,-0.21999999999999886,-0.16999999999999935
93,2023,1,SANTIAGO DEL ESTERO,36.27,11.8,47.55,-27.784103764741893,-63.62189998971087,48.05,-1.0515247108307046,,,0.10000000000000142,-0.12666666666666634
94,2023,1,TIERRA DEL FUEGO,14.58,30.9,104.23,-62.35015217161648,-59.53190998460846,101.44,2.6767725223064436,,,-0.6400000000000006,-0.6166666666666671
95,2023,1,TUCUMAN,95.79,14.95,60.34,-26.998180477681764,-65.29453734502505,61.04,-1.1600928074245869,,,-0.10000000000000142,-0.05666666666666664
96,2022,4,BUENOS AIRES,111.0,26.72,78.94,-35.633728326052875,-59.695392866402734,78.11,1.051431466936912,158.49,-29.96403558584138,-0.08999999999999986,-0.31174246199290945
98,2022,4,CATAMARCA,83.33,16.73,65.77,-27.97273476331947,-66.12713970412685,65.33,0.6689980234149273,89.4,-6.789709172259515,-0.09999999999999787,-0.5060951062511716
99,2022,4,CHACO,104.02,11.66,43.62,-26.86207729911804,-60.15511735633289,43.86,-0.5502063273727694,107.14,-2.9120776554041483,0.13000000000000078,0.06133551010903604
100,2022,4,CHUBUT,15.92,26.23,85.57,-44.077151734192086,-68.66765299463769,84.38,1.390674301741262,20.29,-21.53770330211927,-0.08999999999999986,0.16718991577609987
101,2022,4,CORDOBA,108.77,27.26,89.03,-31.846608244153405,-63.96214628932277,88.31,0.8087161630910916,114.03,-4.612821187406827,0.060000000000002274,-0.23618444541220818
102,2022,4,CORRIENTES,94.72,13.6,51.64,-28.61578113415668,-57.97533573736128,48.21,6.6421378776142515,100.9,-6.124876114965319,-0.11000000000000121,-0.29117967817180235
103,2022,4,ENTRE RIOS,87.47,19.14,64.01,-31.925167566210387,-59.26302098168299,63.67,0.5311670051554498,101.18,-13.550108717137782,-0.23000000000000043,-0.08114868226973027
104,2022,4,FORMOSA,72.03,10.03,39.41,-25.09315954739276,-59.46860152020448,43.76,-11.037807663029692,83.35,-13.581283743251344,0.16000000000000014,-0.243393141100392
105,2022,4,JUJUY,39.32,14.95,58.46,-23.523573011085336,-65.43805280478172,58.91,-0.7697570988710156,46.2,-14.891774891774897,0.06999999999999851,-0.008089542842651731
106,2022,4,LA PAMPA,19.1,31.23,94.8,-36.47714174789248,-64.4553406128059,96.59,-1.8881856540084456,25.61,-25.41975790706755,-0.5799999999999983,-0.402396242149357
107,2022,4,LA RIOJA,61.0,21.26,79.86,-29.330863895517307,-67.13983451857555,80.66,-1.001753067868767,64.18,-4.954814583982559,0.030000000000001137,-0.06520645693264004
108,2022,4,MENDOZA,38.76,14.33,51.36,-33.368795530481485,-68.68534600457129,51.03,0.642523364485978,49.46,-21.633643348160135,-0.009999999999999787,-0.18513086256119982
109,2022,4,MISIONES,91.24,14.39,52.85,-27.058215458325986,-54.96724865075839,51.82,1.9489120151371826,93.65,-2.5734116390816983,-0.3099999999999987,-0.33561516582436335
110,2022,4,NEUQUEN,95.37,23.41,78.67,-38.49954335558701,-69.8742115743201,80.37,-2.1609253845176086,99.63,-4.2758205359831285,0.030000000000001137,-0.32563489347642705
111,2022,4,RIO NEGRO,75.31,21.04,68.42,-39.89645026413934,-67.6105113380815,67.98,0.6430868167202539,74.37,1.2639505176818577,-0.23000000000000043,-0.16294253978901452
112,2022,4,SALTA,75.93,14.04,57.96,-24.248013631473587,-64.70250708135784,57.76,0.3450655624568717,83.04,-8.5621387283237,0.06999999999999851,-0.09545848666156198
113,2022,4,SAN JUAN,16.39,12.96,50.88,-31.31442612644254,-68.50334378949645,50.8,0.15723270440252635,24.78,-33.85794995964487,0.2900000000000009,-0.3944708828483412
114,2022,4,SAN LUIS,30.67,25.83,90.27,-32.98264595285886,-65.88683861327827,81.74,9.44942948930985,174.59,-82.4331290451916,0.029999999999997584,-0.6745859420781546
115,2022,4,SANTA CRUZ,14.33,12.95,43.53,-48.863730255517886,-69.86373350526509,43.19,0.7810705260739798,36.77,-61.028011966276864,0.02999999999999936,-0.006425667797607115
116,2022,4,SANTA FE,90.3,24.65,78.4,-31.64634283294476,-61.04726054930406,78.55,-0.191326530612234,99.81,-9.528103396453266,0.0799999999999983,-0.06565075026639722
